# Bird_H / EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144
# image   : /home/zygfd/waterflow/rebuild/dataset_full/Bird_H/EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144.jpg  (5472x3648)
# labels  : /home/zygfd/waterflow/rebuild/dataset_full/Bird_H/EagleBluffs_03082022_Trees_Spot3_90meters_DJI_0144.txt
# boxes   : 126   species labels: 126
#
#   idx      x1     y1     x2     y2     w    h  species
     68    2420   2114   2439   2130    19   16  Unknown
     69    3382   2739   3407   2751    25   12  Unknown
     70    2452   1493   2472   1508    20   15  Unknown
     71    2297   2370   2310   2393    13   23  Shoveler Male
     72    2517   1944   2538   1958    21   14  Shoveler Male
     73    3079   1887   3100   1901    21   14  Unknown
     74    2384   2342   2413   2352    29   10  Unknown
     75    2721   2490   2742   2504    21   14  Shoveler Male
     76    2329   1876   2346   1893    17   17  Unknown
     77    2119   1681   2136   1698    17   17  American Widgeon Female
     78    3385   2940   3403   2956    18   16  Unknown
     79    2858   1550   2876   1566    18   16  American Widgeon Female
     80    2479   2342   2492   2364    13   22  Shoveler Male
     81    2896    896   2915    911    19   15  Unknown
     82    3093   1058   3113   1072    20   14  Gadwall
     83    2680   2248   2692   2271    12   23  Shoveler Male
     84    2761   1953   2773   1976    12   23  Unknown
     85    2666   2052   2679   2073    13   21  Unknown
     86    2158   1969   2171   1990    13   21  Unknown
     87    2356   1917   2369   1938    13   21  Unknown
     88    2434   2218   2450   2235    16   17  Unknown
     89    3221   3158   3243   3170    22   12  Shoveler Male
     90    2851   1302   2877   1312    26   10  Unknown
     91    2956   1736   2988   1744    32    8  Mallard Male
     92    3416   1544   3436   1557    20   13  Gadwall
     93    2467   1585   2483   1601    16   16  Unknown
     94    2222   1538   2238   1554    16   16  Unknown
     95    2505   1145   2521   1161    16   16  Unknown
     96    2228   2050   2244   2066    16   16  Unknown
     97    2697   1145   2713   1161    16   16  Unknown
     98    2543   1570   2560   1585    17   15  Unknown
     99    2667   1165   2682   1182    15   17  Unknown
    100    2714   2234   2726   2255    12   21  Unknown
    101    2253   2144   2265   2165    12   21  Shoveler Male
    102    3169   1482   3187   1496    18   14  Unknown
    103    2417   2496   2430   2515    13   19  Shoveler Male
    104    2647   1781   2660   1800    13   19  Unknown
    105    3360   1504   3384   1514    24   10  Unknown
    106    2871   2085   2887   2099    16   14  Unknown
    107    3121   1320   3132   1340    11   20  Unknown
    108    2791   2124   2802   2143    11   19  American Widgeon Male
    109    2527   1500   2546   1511    19   11  Unknown
    110    2606   2504   2621   2518    15   14  Mallard Male
    111    2978   1191   2993   1205    15   14  Unknown
    112    2991   1366   3002   1385    11   19  Unknown
    113    2685   1946   2697   1963    12   17  Unknown
    114    2810   1347   2824   1361    14   14  Gadwall
    115    2710   2450   2724   2463    14   13  Unknown
    116    2284   1251   2297   1265    13   14  Green-winged teal
    117    2357   1183   2370   1197    13   14  American Widgeon Male
    118    2433   1389   2448   1401    15   12  Green-winged teal
    119    2492   2207   2513   2215    21    8  Unknown
    120    2674   1167   2687   1180    13   13  Unknown
    121    2213   1689   2228   1700    15   11  Mallard Female
    122    2661   1696   2672   1710    11   14  Unknown
    123    2606   1721   2615   1737     9   16  Unknown
    124    2613   2162   2624   2174    11   12  Unknown
    125    2857   1809   2865   1816     8    7  Unknown
